###文件开始###
#各算法在不同r下的query时间（s）
#'Flickr'
# k             drc          dou         baseline
3               0.060           0.284         181.511
4               0.041           0.129         181.857
5               0.027           0.085          181.792
6               0.019           0.066          182.242
7               0.015           0.055          182.222
8               0.012           0.048          182.446
9               0.011           0.044          182.599
10              0.009            0.039          182.672
11              0.008            0.034          182.848
12              0.007            0.033          182.729
13              0.006            0.029          182.634
14              0.004            0.028          182.810
15              0.004            0.033          182.857
16              0.005            0.022          182.684
17              0.005            0.026          182.814
18              0.004            0.020          183.031
19              0.004            0.020          182.867
20              0.004            0.026          182.939
21              0.004            0.022          182.998
22              0.004            0.020          182.869
