###文件开始###
#各算法在不同r下的query时间（s）
#'Flickr'
# r             drc          dou         baseline
0.036557        0.237          194.121      293.312
0.067102        0.220          76.070       272.523
0.156539        0.061           0.336         197.388
0.321256        0.025           0.137         170.092
0.365428        0.016           0.113         167.741
0.370105        0.017           0.108         167.735
0.414503        0.016           0.096          166.766
0.426879        0.016           0.099          166.719
0.436470        0.014           0.078          166.583
0.439783        0.014           0.077          166.724
0.457336        0.013           0.081          166.616
0.532886        0.010           0.072          165.902
0.660856        0.006            0.056          164.927
0.666366        0.005            0.059          165.047
0.735705        0.005            0.055          164.840
0.792690        0.001            0.041          164.134
0.794878        0.001            0.044          164.065
0.796674        0.001            0.044          164.123
0.836353        0.001            0.045          163.880
0.839756        0            0.034          163.950
0.861773        0            0.032          163.902
0.886698        0            0.028          164.009
0.904588        0            0.027          163.966
0.911485        0            0.028          163.975
0.949710        0            0.028          163.902
