###文件开始###
#固定k累计的query时间（s）
# q             base            dou         
1               557            55    
2               1103           108   
3               1648           161    
4               1854           169    
5               2400           222    
6               2946           275  
7               3492           327    
8               3699           346    
9               4242           399   
10              4784           453   
11  5331    506
12  5537    509
13  6082    563
14  6628    617
15  7173    670
16  7715    724
17  7922    728
18  8129    729
19  8336    754
20  8542    756
21  9084    809
22  9290    831
23  9496    840
24  9702    851
25  10249   904
26  10791   958
27  11338   1011
28  11880   1064
29  12086   1079
30  12630   1132
31  13173   1185
32  13721   1238
33  13927   1251
34  14133   1255
35  14675   1308
36  15217   1361
37  15763   1414
38  15969   1416
39  16511   1470
40  16717   1472
41  16923   1476
42  17129   1488
43  17337   1491
44  17545   1495
45  18091   1548
46  18637   1601
47  18843   1604
48  19384   1658
49  19591   1666
50  20139   1722
51  20680   1777
52  20886   1782
53  21092   1784
54  21300   1794
55  21508   1796
56  22051   1850
57  22593   1904
58  23139   1957
59  23686   2011
60  24232   2065
61  24437   2068
62  24980   2121
63  25526   2174
64  26068   2227
65  26615   2280
66  27157   2333
67  27364   2339
68  27906   2392
69  28112   2403
70  28318   2410
71  28524   2412
72  29072   2465
73  29278   2483
74  29484   2489
75  30026   2542
76  30232   2544
77  30778   2599
78  30984   2609
79  31532   2662
80  32077   2715
81  32624   2768
82  32832   2790
83  33017   2790
84  33564   2842
85  33769   2862
86  34314   2915
87  34857   2970
88  35403   3022
89  35948   3074
90  36155   3076
91  36361   3078
92  36906   3132
93  37452   3186
94  37998   3239
95  38544   3292
96  38750   3294
97  38956   3312
98  39162   3315
99  39368   3324
100 39911   3379

