###文件开始###
#固定r累计的query时间（s）
# q             base            dou         
1   129 55
2   256 110
3   300 117
4   428 169
5   557 224
6   600 226
7   728 279
8   771 283
9   898 338
10  1026    390
11  1153    442
12  1197    456
13  1240    461
14  1368    516
15  1496    569
16  1625    623
17  1754    675
18  1882    729
19  2010    782
20  2138    836
21  2267    888
22  2394    943
23  2522    996
24  2650    1050
25  2777    1102
26  2815    1102
27  2859    1127
28  2987    1181
29  3031    1186
30  3160    1237
31  3288    1291
32  3417    1343
33  3460    1354
34  3587    1408
35  3716    1460
36  3846    1514
37  3974    1566
38  4017    1592
39  4145    1646
40  4189    1658
41  4318    1709
42  4447    1763
43  4576    1816
44  4619    1822
45  4748    1876
46  4876    1928
47  5004    1982
48  5133    2034
49  5262    2088
50  5306    2092
51  5433    2144
52  5561    2198
53  5690    2250
54  5734    2252
55  5862    2308
56  5991    2360
57  6118    2415
58  6245    2467
59  6289    2469
60  6417    2524
61  6545    2576
62  6672    2631
63  6800    2684
64  6843    2687
65  6970    2742
66  7099    2794
67  7142    2802
68  7186    2827
69  7230    2830
70  7273    2832
71  7400    2887
72  7529    2939
73  7657    2994
74  7786    3046
75  7913    3101
76  7956    3114
77  7999    3129
78  8127    3181
79  8170    3183
80  8214    3208
81  8341    3263
82  8470    3316
83  8598    3371
84  8726    3423
85  8853    3478
86  8897    3498
87  9025    3550
88  9152    3605
89  9280    3657
90  9408    3712
91  9536    3765
92  9579    3791
93  9707    3846
94  9751    3847
95  9795    3872
96  9925    3923
97  9969    3928
98  10098   3982
99  10142   3989
100 10271   4040

